task,feature_set,scope,feature_count,cv,target_folds,eligible_rows,oof_rows,label_coverage,positive_rate,roc_auc,pr_auc,precision_at_0_5,recall_at_0_5,tn,fp,fn,tp,uses_gt_at_decision,posthoc_diagnostic_only
B_replace_local,weighted_S4,receiver_C,7,leave_one_target_out,5,9218,9218,1.0,0.08440008678672163,0.5232012756003362,0.10740226163267391,0.09805174065793676,0.39460154241645246,5616,2824,471,307,False,True
A_helpful_vs_harmful,weighted_S5,overall,12,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.37777929166736535,0.39698077685843614,0.32292106373997465,0.3903061224489796,830,1604,1195,765,False,True
A_helpful_vs_harmful,weighted_S5,receiver_A,12,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.25416630441005894,0.23463298528215273,0.155893536121673,0.346723044397463,109,888,309,164,False,True
A_helpful_vs_harmful,weighted_S5,receiver_B,12,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.5806692437000052,0.6397070907021464,0.7006651884700665,0.44569816643159377,428,135,393,316,False,True
A_helpful_vs_harmful,weighted_S5,receiver_C,12,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.38586147664903847,0.493589099169746,0.32909930715935337,0.36632390745501286,293,581,493,285,False,True
B_replace_local,weighted_S5,overall,12,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.517217981616676,0.07988315385373983,0.0771538276937845,0.3280612244897959,17345,7691,1317,643,False,True
B_replace_local,weighted_S5,receiver_A,12,leave_one_target_out,5,8462,8462,1.0,0.055896951075395884,0.5459597326874135,0.07950246289504564,0.0599565082323703,0.4080338266384778,4963,3026,280,193,False,True
B_replace_local,weighted_S5,receiver_B,12,leave_one_target_out,5,9316,9316,1.0,0.07610562473164448,0.5114515475398628,0.07381671244027325,0.0747800586510264,0.2157968970380818,6714,1893,556,153,False,True
B_replace_local,weighted_S5,receiver_C,12,leave_one_target_out,5,9218,9218,1.0,0.08440008678672163,0.5182580197127158,0.10662783473883503,0.0967741935483871,0.38174807197943444,5668,2772,481,297,False,True
A_helpful_vs_harmful,mean_S0,overall,9,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.3633227407643419,0.3709624199254469,0.31008583690987124,0.29489795918367345,1148,1286,1382,578,False,True
A_helpful_vs_harmful,mean_S0,receiver_A,9,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.20932777189920715,0.2268494517541767,0.13733075435203096,0.15010570824524314,551,446,402,71,False,True
A_helpful_vs_harmful,mean_S0,receiver_B,9,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.3973274343821007,0.4677696263058643,0.4664429530201342,0.3921015514809591,245,318,431,278,False,True
A_helpful_vs_harmful,mean_S0,receiver_C,9,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.40129005311983434,0.4462288331059002,0.30492676431424764,0.2943444730077121,352,522,549,229,False,True
B_replace_local,mean_S0,overall,9,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.48456386069366236,0.07154539766532594,0.07860922146636433,0.37142857142857144,16503,8533,1232,728,False,True
B_replace_local,mean_S0,receiver_A,9,leave_one_target_out,5,8462,8462,1.0,0.055896951075395884,0.5820717545822123,0.10548992326383491,0.11351909184726522,0.46511627906976744,6271,1718,253,220,False,True
B_replace_local,mean_S0,receiver_B,9,leave_one_target_out,5,9316,9316,1.0,0.07610562473164448,0.49066681218406705,0.06985526135964887,0.07240948813982521,0.4908321579689704,4149,4458,361,348,False,True
B_replace_local,mean_S0,receiver_C,9,leave_one_target_out,5,9218,9218,1.0,0.08440008678672163,0.4000150769380718,0.0715264592891485,0.06356773937226858,0.20565552699228792,6083,2357,618,160,False,True
