epoch,loader,view,view_count,group_samples,distinct_view_frame_ratio,delta_t_mean,delta_t_median,delta_t_p90,unique_pair_count,unique_pair_ratio,causal_violations,visibility_violations
47,val,A,1496,1496,1.0,87.17713903743315,82.0,176.0,1489,0.9953208556149733,0,0
47,val,B,1496,1496,1.0,88.57286096256685,84.5,174.0,1487,0.9939839572192514,0,0
47,val,C,1496,1496,1.0,91.3683155080214,87.0,176.0,1489,0.9953208556149733,0,0
48,train,A,6000,6000,1.0,83.79066666666667,77.0,171.0,5860,0.9766666666666667,0,0
48,train,B,6000,6000,1.0,79.44883333333334,71.0,170.0,5631,0.9385,0,0
48,train,C,6000,6000,1.0,80.35316666666667,73.0,170.0,5737,0.9561666666666667,0,0
48,val,A,1496,1496,1.0,86.68649732620321,81.0,172.0,1491,0.9966577540106952,0,0
48,val,B,1496,1496,1.0,85.69852941176471,78.0,174.0,1491,0.9966577540106952,0,0
48,val,C,1496,1496,1.0,88.9725935828877,85.0,174.0,1489,0.9953208556149733,0,0
49,train,A,6000,6000,1.0,82.1675,74.0,171.0,5856,0.976,0,0
49,train,B,6000,6000,1.0,78.30133333333333,69.0,168.0,5622,0.937,0,0
49,train,C,6000,6000,1.0,79.03,68.0,170.0,5706,0.951,0,0
49,val,A,1496,1496,1.0,86.36965240641712,82.0,174.0,1491,0.9966577540106952,0,0
