sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3041-3,md3041,C,0.0644434429923389,0.0914826498422713,0.2555205047318612,0.07929344486910025,317
md3042-3,md3042,C,0.13684210526315793,0.23333333333333334,0.17192982456140352,0.13769364670348308,570
md3043-3,md3043,C,0.5448218448218447,0.8972027972027972,0.44685314685314687,0.54683529570502,1430
md3045-3,md3045,C,0.7872117400419286,1.0,0.9842767295597484,0.8024380750753749,636
md3046-3,md3046,C,0.7582055421038472,1.0,0.998587570621469,0.771310434607343,708
md3047-3,md3047,C,0.8256231209388032,1.0,1.0,0.8412132604246862,491
md3049-3,md3049,C,0.10670292753159494,0.14893617021276595,0.40313549832026874,0.14955050195515407,893
md3052-3,md3052,C,0.6854832054138813,0.9150779896013865,0.9982668977469671,0.7627976941558269,577
md3053-3,md3053,C,0.46750805585392047,0.9849624060150376,0.36466165413533835,0.4675083158552286,1064
md3056-3,md3056,C,0.25381244522348817,0.3006134969325153,0.4699386503067485,0.31235265495310727,815
md3057-3,md3057,C,0.39753086419753086,0.5611111111111111,0.6259259259259259,0.46306377415398153,540
md3061-3,md3061,C,0.7526511313745355,1.0,0.948936170212766,0.766039743063596,705
md3063-3,md3063,C,0.7550264550264549,0.8592592592592593,0.9055555555555556,0.8149857714244441,540
